Doctors	Premise-B
,	Premise-I
in	Premise-I
my	Premise-I
numerous	Premise-I
recent	Premise-I
experiences	Premise-I
caring	Premise-I
for	Premise-I
myself	Premise-I
and	Premise-I
my	Premise-I
family	Premise-I
,	Premise-I
don't	Premise-I
often	Premise-I
spend	Premise-I
much	Premise-I
time	Premise-I
talking	Premise-I
with	Premise-I
patients	Premise-I
,	Premise-I
so	Premise-I
I've	Premise-I
had	Premise-I
to	Premise-I
look	Premise-I
things	Premise-I
up	Premise-I
online	Premise-I
.	Premise-I
I'd	Premise-I
rather	Premise-I
talk	Premise-I
to	Premise-I
a	Premise-I
doctor	Premise-I
with	Premise-I
appropriate	Premise-I
expertise	Premise-I
and	Premise-I
knowledge	Premise-I
of	Premise-I
our	Premise-I
specific	Premise-I
details	Premise-I
.	Premise-I
But	O
we	O
get	O
rushed	O
out	O
of	O
the	O
office	O
,	O
usually	O
after	O
a	O
long	O
wait	O
in	O
reception	O
,	O
with	O
just	O
a	O
prescription	O
--	O
or	O
an	O
appointment	O
for	O
tests	O
or	O
surgery	O
--	O
in	O
hand	O
.	O
I've	O
found	O
that	O
veterinarians	O
are	O
much	O
more	O
willing	O
to	O
talk	O
;	O
vets	O
have	O
told	O
me	O
about	O
complications	O
to	O
watch	O
for	O
,	O
they've	O
compassionately	O
explained	O
what	O
to	O
expect	O
about	O
the	O
progression	O
of	O
disease	O
and	O
they've	O
offered	O
suggestions	O
for	O
how	O
to	O
cope	O
with	O
the	O
inconvenience	O
and	O
indignities	O
of	O
aging	O
and	O
illness	O
.	O
I	O
respect	O
M.D.s	O
and	O
D	O
.	O
V	O
.	O
M	O
.	O
s	O
--	O
but	O
I	O
think	O
medical	O
doctors	O
can	O
learn	O
a	O
lot	O
from	O
vets	O
.	O
