Cutting	Premise-B
these	Premise-I
programs	Premise-I
will	Premise-I
deprive	Premise-I
Americans	Premise-I
enrolled	Premise-I
at	Premise-I
US	Premise-I
universities	Premise-I
of	Premise-I
the	Premise-I
broader	Premise-I
and	Premise-I
deeper	Premise-I
intellect	Premise-I
they	Premise-I
need	Premise-I
to	Premise-I
compete	Premise-I
in	Premise-I
the	Premise-I
global	Premise-I
economy	Premise-I
.	Premise-I
I	O
specify	O
Americans	O
,	O
because	O
all	O
the	O
non-American	O
students	O
acquire	O
multi-lingual	O
fluency	O
in	O
the	O
home	O
countries	O
,	O
etc	O
.	O
I	O
acquired	O
fluency	O
in	O
German	O
while	O
taking	O
it	O
at	O
Indiana	O
University	O
as	O
a	O
minor	O
.	O
That	O
skill	O
has	O
made	O
all	O
the	O
difference	O
in	O
my	O
30-year	O
marketing	O
career	O
.	O
