The	Premise-B
code	Premise-I
of	Premise-I
conduct	Premise-I
is	Premise-I
a	Premise-I
farce	Premise-I
--	Premise-I
judges	Premise-I
are	Premise-I
political	Premise-I
animals	Premise-I
.	Premise-I
They	O
always	O
were	O
and	O
likely	O
always	O
will	O
be	O
.	O
Marbury	O
v	O
Madison	O
shows	O
this	O
.	O
And	O
if	O
anyone	O
had	O
any	O
doubts	O
the	O
blatantly	O
political	O
decision	O
in	O
Bush	O
s	O
Gore	O
proved	O
it	O
when	O
5	O
Republican	O
judges	O
put	O
a	O
Republican	O
into	O
the	O
White	O
House	O
.	O
