While	Premise-B
it's	Premise-I
true	Premise-I
that	Premise-I
many	Premise-I
unmoderated	Premise-I
comments	Premise-I
sections	Premise-I
can	Premise-I
become	Premise-I
sewers	Premise-I
(	Premise-I
the	Premise-I
NY	Premise-I
Daily	Premise-I
News	Premise-I
section	Premise-I
was	Premise-I
an	Premise-I
absolute	Premise-I
cesspool	Premise-I
...	Premise-I
)	Premise-I
,	Premise-I
moderated	Premise-I
comments	Premise-I
sections	Premise-I
like	Premise-I
those	Premise-I
The	Premise-I
Times	Premise-I
actually	Premise-I
make	Premise-I
a	Premise-I
tremendous	Premise-I
contribution	Premise-I
to	Premise-I
both	Premise-I
reader	Premise-I
understanding	Premise-I
of	Premise-I
the	Premise-I
issues	Premise-I
and	Premise-I
our	Premise-I
political	Premise-I
process	Premise-I
.	Premise-I
I	O
would	O
also	O
stipulate	O
that	O
allowing	O
anonymous	O
comments	O
can	O
indeed	O
be	O
problematic	O
,	O
and	O
that	O
commentators	O
should	O
be	O
willing	O
to	O
disclose	O
their	O
identity	O
when	O
expressing	O
their	O
opinion	O
-	O
and	O
thus	O
expose	O
themselves	O
to	O
the	O
potential	O
scrutiny	O
that	O
goes	O
along	O
with	O
doing	O
this	O
.	O
