US	Premise-B
and	Premise-I
jweish	Premise-I
interests	Premise-I
are	Premise-I
absolutely	Premise-I
mutually	Premise-I
exclusive	Premise-I
:	Premise-I
the	O
visionary	O
George	O
Washington	O
put	O
it	O
succinctly	O
:	O
"	Premise-B
A	Premise-I
passionate	Premise-I
attachment	Premise-I
of	Premise-I
one	Premise-I
nation	Premise-I
for	Premise-I
another	Premise-I
produces	Premise-I
a	Premise-I
variety	Premise-I
of	Premise-I
evils	Premise-I
.	Premise-I
Sympathy	Premise-I
for	Premise-I
the	Premise-I
favorite	Premise-I
nation	Premise-I
,	Premise-I
facilitating	Premise-I
the	Premise-I
illusion	Premise-I
of	Premise-I
an	Premise-I
imaginary	Premise-I
common	Premise-I
interest	Premise-I
in	Premise-I
cases	Premise-I
where	Premise-I
no	Premise-I
real	Premise-I
common	Premise-I
interest	Premise-I
exists	Premise-I
,	Premise-I
and	Premise-I
infusing	Premise-I
into	Premise-I
one	Premise-I
the	Premise-I
enmities	Premise-I
of	Premise-I
the	Premise-I
other	Premise-I
,	Premise-I
betrays	Premise-I
the	Premise-I
former	Premise-I
into	Premise-I
a	Premise-I
participation	Premise-I
in	Premise-I
the	Premise-I
quarrels	Premise-I
and	Premise-I
wars	Premise-I
of	Premise-I
the	Premise-I
latter	Premise-I
without	Premise-I
adequate	Premise-I
inducement	Premise-I
or	Premise-I
justification	Premise-I
.	Premise-I
"	Premise-I
