This	Premise-B
part	Premise-I
,	Premise-I
"	Premise-I
The	Premise-I
worst	Premise-I
part	Premise-I
of	Premise-I
the	Premise-I
travel	Premise-I
experience	Premise-I
today	Premise-I
is	Premise-I
the	Premise-I
part	Premise-I
that's	Premise-I
the	Premise-I
most	Premise-I
heavily	Premise-I
regulated	Premise-I
;	Premise-I
in	Premise-I
fact	Premise-I
,	Premise-I
it's	Premise-I
run	Premise-I
by	Premise-I
the	Premise-I
government	Premise-I
itself	Premise-I
.	Premise-I
The	O
security	O
experience	O
is	O
awful	O
..	O
"	O
seems	O
to	O
forget	O
that	O
private	O
security	O
failed	O
most	O
catastrophically	O
on	O
9/11	O
.	O
Disgraceful	O
.	O
