Great	Premise-B
quote	Premise-I
from	Premise-I
a	Premise-I
friend	Premise-I
of	Premise-I
mine	Premise-I
who	Premise-I
now	Premise-I
lives	Premise-I
in	Premise-I
Germany	Premise-I
(	Premise-I
where	Premise-I
they	Premise-I
have	Premise-I
real	Premise-I
labor	Premise-I
laws	Premise-I
and	Premise-I
a	Premise-I
better	Premise-I
economy	Premise-I
,	Premise-I
social	Premise-I
services	Premise-I
,	Premise-I
etc	Premise-I
):	Premise-I
"	Premise-B
People	Premise-I
who	Premise-I
don't	Premise-I
have	Premise-I
to	Premise-I
work	Premise-I
for	Premise-I
a	Premise-I
living	Premise-I
shouldn't	Premise-I
meddle	Premise-I
with	Premise-I
those	Premise-I
of	Premise-I
us	Premise-I
who	Premise-I
do	Premise-I
.	Premise-I
"	Premise-I
'	O
Nuff	O
said	O
.	O
