There	Premise-B
is	Premise-I
absolutely	Premise-I
nothing	Premise-I
we	Premise-I
can	Premise-I
do	Premise-I
to	Premise-I
stop	Premise-I
the	Premise-I
terrorists	Premise-I
.	Premise-I
They	O
are	O
less	O
deadly	O
than	O
the	O
pilots	O
of	O
the	O
9/11	O
attack	O
(	O
some	O
3000	O
Americans	O
vs	O
.	O
200	O
French	O
)	O
and	O
the	O
smart	O
ones	O
of	O
9/11	O
killed	O
themselves	O
.	O
It	O
is	O
not	O
clear	O
yet	O
whether	O
the	O
organizers	O
of	O
this	O
attack	O
are	O
all	O
dead	O
or	O
alive	O
.	O
