If	Premise-B
there	Premise-I
will	Premise-I
always	Premise-I
be	Premise-I
ways	Premise-I
to	Premise-I
cheat	Premise-I
than	Premise-I
perhaps	Premise-I
the	Premise-I
regulations	Premise-I
and	Premise-I
laws	Premise-I
should	Premise-I
be	Premise-I
about	Premise-I
outcomes	Premise-I
,	Premise-I
not	Premise-I
about	Premise-I
methods	Premise-I
.	Premise-I
Suppose	O
instead	O
of	O
a	O
regulation	O
describing	O
a	O
testing	O
station	O
the	O
law	O
said	O
that	O
if	O
a	O
car	O
exceeded	O
the	O
pollution	O
standards	O
the	O
manufacturer	O
would	O
have	O
to	O
refund	O
the	O
full	O
original	O
retail	O
price	O
of	O
all	O
units	O
of	O
that	O
model	O
car	O
(	O
including	O
sales	O
tax	O
)	O
and	O
pay	O
a	O
fine	O
for	O
all	O
the	O
miles	O
driven	O
.	O
Then	O
all	O
the	O
mechanisms	O
in	O
the	O
world	O
for	O
cheating	O
wouldn't	O
matter	O
;	O
just	O
getting	O
caught	O
once	O
would	O
be	O
the	O
end	O
of	O
the	O
corporation	O
.	O
Inventions	O
guarantee	O
that	O
methods	O
will	O
change	O
but	O
the	O
outcome	O
is	O
the	O
outcome	O
.	O
