I	Premise-B
don't	Premise-I
understand	Premise-I
why	Premise-I
a	Premise-I
free	Premise-I
women	Premise-I
should	Premise-I
curtail	Premise-I
herself	Premise-I
and	Premise-I
wear	Premise-I
an	Premise-I
inconvenient	Premise-I
headscarf	Premise-I
out	Premise-I
of	Premise-I
solidarity	Premise-I
.	Premise-I
This	O
reminds	O
me	O
of	O
the	O
Iranian	O
'	O
revolution	O
'	O
,	O
where	O
women	O
did	O
exactly	O
that	O
as	O
a	O
sign	O
of	O
solidarity	O
for	O
their	O
headscarf	O
wearing	O
and	O
mostly	O
lesser	O
educated	O
combatants	O
.	O
We	O
all	O
know	O
how	O
this	O
did	O
backfire	O
after	O
the	O
'	O
revolution	O
'	O
in	O
1979	O
:	O
there	O
was	O
no	O
going	O
back	O
to	O
not	O
wearing	O
scarfs	O
.	O
