The	Premise-B
best	Premise-I
part	Premise-I
of	Premise-I
collet	Premise-I
age	Premise-I
voters	Premise-I
is	Premise-I
that	Premise-I
they	Premise-I
have	Premise-I
nothing	Premise-I
to	Premise-I
steal	Premise-I
,	Premise-I
but	Premise-I
feel	Premise-I
that	Premise-I
they	Premise-I
deserve	Premise-I
what	Premise-I
the	Premise-I
old	Premise-I
people	Premise-I
have	Premise-I
worked	Premise-I
to	Premise-I
earn	Premise-I
.	Premise-I
Fortunately	O
,	O
we	O
become	O
more	O
conservative	O
as	O
we	O
get	O
older	O
and	O
have	O
contributed	O
something	O
real	O
to	O
the	O
community	O
,	O
otherwise	O
the	O
our	O
party	O
would	O
have	O
run	O
off	O
the	O
rails	O
long	O
ago	O
.	O
