Classic	Premise-B
Bayesian	Premise-I
inference	Premise-I
error	Premise-I
.	Premise-I
If	Premise-I
A	Premise-I
then	Premise-I
B	Premise-I
is	Premise-I
not	Premise-I
equivalent	Premise-I
to	Premise-I
if	Premise-I
B	Premise-I
then	Premise-I
A	Premise-I
.	Premise-I
But	O
it	O
worked	O
for	O
Johnny	O
Cochran	O
in	O
the	O
OJ	O
Simpson	O
trial	O
,	O
who	O
(	O
correctly	O
)	O
argued	O
that	O
the	O
percentage	O
of	O
verified	O
wife	O
beaters	O
who	O
go	O
on	O
to	O
murder	O
their	O
wives	O
is	O
very	O
,	O
very	O
small	O
,	O
but	O
also	O
ignored	O
the	O
fact	O
that	O
the	O
percentage	O
of	O
verified	O
wife	O
beaters	O
whose	O
wives	O
are	O
then	O
murdered	O
and	O
who	O
are	O
guilty	O
approaches	O
100%	O
.	O
