The	Premise-B
vast	Premise-I
majority	Premise-I
of	Premise-I
heroin	Premise-I
users	Premise-I
started	Premise-I
with	Premise-I
prescription	Premise-I
drugs	Premise-I
which	Premise-I
were	Premise-I
never	Premise-I
meant	Premise-I
to	Premise-I
be	Premise-I
used	Premise-I
as	Premise-I
maintenance	Premise-I
drugs	Premise-I
in	Premise-I
the	Premise-I
first	Premise-I
place	Premise-I
..	Premise-I
We're	O
still	O
having	O
this	O
dumb	O
debate	O
in	O
2016	O
..	O
Statistical	O
gerrymandering	O
...	O
and	O
no	O
one	O
falls	O
for	O
it	O
anymore	O
