The	Premise-B
U.S.	Premise-I
DHHS	Premise-I
estimated	Premise-I
,	Premise-I
in	Premise-I
2008	Premise-I
,	Premise-I
that	Premise-I
more	Premise-I
than	Premise-I
18%	Premise-I
of	Premise-I
our	Premise-I
population	Premise-I
smokes	Premise-I
pot	Premise-I
.	Premise-I
More	Premise-I
than	Premise-I
55	Premise-I
million	Premise-I
Americans	Premise-I
.	Premise-I
Under	O
prohibition	O
they	O
are	O
all	O
subject	O
to	O
becoming	O
coerced	O
by	O
the	O
courts	O
"	O
patients	O
"	O
of	O
Prof	O
.	O
Evins	O
and	O
her	O
profession	O
cohorts	O
.	O
Legalized	O
she	O
,	O
and	O
her	O
pharmaceutical	O
industry	O
sponsors	O
,	O
lose	O
that	O
potential	O
court	O
ordered	O
government	O
business	O
.	O
Dr.	O
Evins	O
CV	O
:	O
"	O
Dr.	O
Evins	O
has	O
been	O
the	O
recipient	O
of	O
a	O
career	O
development	O
award	O
from	O
theNational	O
Institutes	O
of	O
Drug	O
Abuse	O
(	O
NIDA	O
)	O
"	O
"	O
Career	O
development	O
"	O
indeed	O
.	O
