When	Premise-B
publications	Premise-I
allow	Premise-I
totally	Premise-I
anonymous	Premise-I
comments	Premise-I
,	Premise-I
chaos	Premise-I
follows	Premise-I
.	Premise-I
One	Premise-I
gets	Premise-I
the	Premise-I
feeling	Premise-I
that	Premise-I
comments	Premise-I
are	Premise-I
posted	Premise-I
by	Premise-I
dirty	Premise-I
old	Premise-I
men	Premise-I
in	Premise-I
the	Premise-I
basement	Premise-I
,	Premise-I
or	Premise-I
14-year-old	Premise-I
dropouts	Premise-I
.	Premise-I
The	O
NY	O
Times	O
does	O
it	O
right	O
,	O
despite	O
some	O
obvious	O
flaws	O
,	O
such	O
as	O
rewarding	O
quick	O
posting	O
regulars	O
who	O
often	O
set	O
the	O
tone	O
for	O
subsequent	O
commentary	O
.	O
Yet	O
on	O
issues	O
such	O
as	O
North	O
Carolina's	O
egregious	O
HB2	O
,	O
comments	O
from	O
around	O
the	O
world	O
are	O
illuminating	O
and	O
revealing	O
,	O
which	O
adds	O
context	O
,	O
flavor	O
and	O
perspective	O
to	O
the	O
original	O
article	O
.	O
That's	O
a	O
good	O
thing	O
.	O
