The	Premise-B
evaluations	Premise-I
were	Premise-I
either	Premise-I
wonderful	Premise-I
or	Premise-I
abysmal	Premise-I
.	Premise-I
Most	Premise-I
students	Premise-I
said	Premise-I
that	Premise-I
I	Premise-I
respected	Premise-I
every	Premise-I
student	Premise-I
and	Premise-I
welcomed	Premise-I
every	Premise-I
question	Premise-I
,	Premise-I
and	Premise-I
then	Premise-I
others	Premise-I
said	Premise-I
I	Premise-I
belittled	Premise-I
students	Premise-I
for	Premise-I
asking	Premise-I
questions	Premise-I
.	Premise-I
I	Premise-I
was	Premise-I
both	Premise-I
the	Premise-I
best	Premise-I
teacher	Premise-I
ever	Premise-I
,	Premise-I
or	Premise-I
the	Premise-I
worst	Premise-I
.	Premise-I
I	O
quit	O
looking	O
after	O
a	O
couple	O
of	O
semesters	O
.	O
