"	O
Assuming	O
an	O
unpaid	O
internship	O
is	O
mutually	O
beneficial	O
and	O
entered	O
into	O
freely	O
by	O
both	O
parties	O
,	O
should	O
such	O
arrangements	O
be	O
illegal	O
?	O
"	O
Just	Premise-B
because	Premise-I
we	Premise-I
young	Premise-I
people	Premise-I
constitute	Premise-I
a	Premise-I
"	Premise-I
willing	Premise-I
party	Premise-I
"	Premise-I
when	Premise-I
entering	Premise-I
into	Premise-I
an	Premise-I
internship	Premise-I
doesn't	Premise-I
mean	Premise-I
we	Premise-I
are	Premise-I
actually	Premise-I
"	Premise-I
willing	Premise-I
"	Premise-I
.	Premise-I
We	Premise-I
simply	Premise-I
have	Premise-I
no	Premise-I
choice	Premise-I
.	Premise-I
After	Premise-I
all	Premise-I
,	Premise-I
for	Premise-I
the	Premise-I
ambitious	Premise-I
among	Premise-I
us	Premise-I
,	Premise-I
what's	Premise-I
the	Premise-I
alternative	Premise-I
?	Premise-I
Unless	Premise-I
you	Premise-I
have	Premise-I
your	Premise-I
sights	Premise-I
on	Premise-I
a	Premise-I
career	Premise-I
in	Premise-I
venture	Premise-I
capitalism/finance/etc	Premise-I
.,	Premise-I
non-remunerated	Premise-I
internships	Premise-I
are	Premise-I
all	Premise-I
we	Premise-I
know	Premise-I
.	Premise-I
