Librares	Premise-B
are	Premise-I
more	Premise-I
than	Premise-I
places	Premise-I
for	Premise-I
reading	Premise-I
,	Premise-I
borrowing	Premise-I
books	Premise-I
and	Premise-I
recordings	Premise-I
,	Premise-I
and	Premise-I
doing	Premise-I
research	Premise-I
.	Premise-I
They	Premise-I
are	Premise-I
community	Premise-I
centers	Premise-I
of	Premise-I
wisdom	Premise-I
.	Premise-I
And	Premise-I
as	Premise-I
such	Premise-I
,	Premise-I
they	Premise-I
are	Premise-I
the	Premise-I
intellectual	Premise-I
aspect	Premise-I
of	Premise-I
overall	Premise-I
community	Premise-I
health	Premise-I
.	Premise-I
When	O
policy	O
makers	O
(	O
providing	O
funding	O
for	O
libraries	O
)	O
understand	O
this	O
aspect	O
,	O
libraries	O
and	O
their	O
surrounding	O
communites	O
,	O
thrive	O
.	O
