No	Premise-B
,	Premise-I
it's	Premise-I
not	Premise-I
just	Premise-I
that	Premise-I
the	Premise-I
corporations	Premise-I
will	Premise-I
have	Premise-I
larger	Premise-I
printers	Premise-I
.	Premise-I
It	Premise-I
is	Premise-I
that	Premise-I
most	Premise-I
of	Premise-I
us	Premise-I
will	Premise-I
have	Premise-I
various	Premise-I
sizes	Premise-I
of	Premise-I
printers	Premise-I
.	Premise-I
IT's	O
just	O
what	O
happened	O
with	O
computers	O
.	O
I	O
was	O
sold	O
when	O
some	O
students	O
from	O
Equador	O
showed	O
me	O
their	O
easy	O
to	O
make	O
,	O
working	O
,	O
prosthetic	O
arm	O
.	O
Cost	O
to	O
make	O
,	O
less	O
than	O
one	O
hundred	O
dollars	O
.	O
