"	O
Yet	O
that	O
same	O
Bible	O
gives	O
us	O
Christians	O
a	O
particular	O
anthropology	O
,	O
and	O
reveals	O
to	O
us	O
the	O
meaning	O
of	O
sex	O
and	O
marriage	O
within	O
the	O
cosmic	O
order	O
.	O
"	O
And	Premise-B
herein	Premise-I
lies	Premise-I
the	Premise-I
problem	Premise-I
.	Premise-I
If	Premise-I
you	Premise-I
look	Premise-I
to	Premise-I
a	Premise-I
"	Premise-I
holy	Premise-I
"	Premise-I
book	Premise-I
written	Premise-I
long	Premise-I
,	Premise-I
long	Premise-I
ago	Premise-I
and	Premise-I
betraying	Premise-I
its	Premise-I
human	Premise-I
origins	Premise-I
on	Premise-I
every	Premise-I
page	Premise-I
for	Premise-I
guidance	Premise-I
on	Premise-I
issues	Premise-I
of	Premise-I
cosmology	Premise-I
,	Premise-I
biology	Premise-I
,	Premise-I
sexuality	Premise-I
and	Premise-I
other	Premise-I
human	Premise-I
and	Premise-I
natural	Premise-I
sciences	Premise-I
,	Premise-I
you	Premise-I
will	Premise-I
inevitably	Premise-I
be	Premise-I
in	Premise-I
constant	Premise-I
conflict	Premise-I
with	Premise-I
social	Premise-I
progress	Premise-I
and	Premise-I
,	Premise-I
indeed	Premise-I
,	Premise-I
reality	Premise-I
.	Premise-I
There	Premise-B
is	Premise-I
no	Premise-I
secular	Premise-I
opposition	Premise-I
to	Premise-I
homosexuality	Premise-I
.	Premise-I
