The	Premise-B
farm	Premise-I
subsidies	Premise-I
actually	Premise-I
hurt	Premise-I
the	Premise-I
type	Premise-I
of	Premise-I
farm	Premise-I
that	Premise-I
has	Premise-I
traditionally	Premise-I
been	Premise-I
the	Premise-I
backbone	Premise-I
of	Premise-I
America	Premise-I
.	Premise-I
I	O
refer	O
to	O
the	O
small	O
to	O
medium	O
size	O
family	O
farm	O
.	O
Smaller	O
farms	O
can	O
detail	O
their	O
crops	O
and	O
rotations	O
to	O
better	O
conserve	O
soil	O
and	O
water	O
.	O
They	O
support	O
a	O
traditional	O
farmer	O
life	O
style	O
.	O
Small	O
farms	O
support	O
small	O
towns	O
,	O
local	O
banks	O
,	O
grocery	O
stores	O
,	O
schools	O
,	O
equipment	O
dealers	O
and	O
a	O
wide	O
farmer's	O
work	O
ethic	O
.	O
Larger	O
farms	O
destroy	O
all	O
of	O
this	O
.	O
If	O
we	O
support	O
farms	O
in	O
order	O
to	O
help	O
America	O
,	O
let's	O
support	O
small	O
farms	O
that	O
actually	O
help	O
it	O
.	O
