The	Premise-B
Olympics	Premise-I
in	Premise-I
Brazil	Premise-I
is	Premise-I
a	Premise-I
joke	Premise-I
,	Premise-I
do	O
this	O
in	O
a	O
city	O
where	O
they	O
are	O
killed	O
6000-7000	O
people	O
per	O
year	O
and	O
kills	O
crime	O
.	O
Se	O
much	O
more	O
here	O
than	O
in	O
Afghanistan	O
(	O
which	O
is	O
at	O
war	O
and	O
has	O
cars	O
bomb	O
every	O
day	O
)	O
.	O
...	O
but	O
it	O
is	O
the	O
fault	O
of	O
our	O
people	O
,	O
because	O
we	O
do	O
not	O
charge	O
anything	O
from	O
the	O
rulers	O
,	O
and	O
the	O
manifestations	O
of	O
the	O
streets	O
are	O
all	O
articulated	O
by	O
the	O
press	O
,	O
making	O
the	O
exit	O
of	O
President	O
Dilma	O
second	O
blow	O
to	O
the	O
democracy	O
of	O
our	O
country	O
....	O
without	O
health	O
,	O
jobs	O
and	O
an	O
institutional	O
crisis	O
without	O
prededentes	O
,	O
this	O
Olympiad	O
is	O
another	O
way	O
to	O
get	O
people's	O
attention	O
from	O
the	O
bad	O
things	O
of	O
our	O
country	O
