Home	Premise-B
schooled	Premise-I
young	Premise-I
people	Premise-I
should	Premise-I
be	Premise-I
allowed	Premise-I
to	Premise-I
participate	Premise-I
in	Premise-I
after-school	Premise-I
activities	Premise-I
in	Premise-I
their	Premise-I
home	Premise-I
district	Premise-I
school	Premise-I
,	Premise-I
but	O
I	O
fail	O
to	O
see	O
the	O
relevance	O
of	O
the	O
fact	O
that	O
their	O
parents	O
pay	O
local	O
taxes	O
.	O
In	O
most	O
communities	O
a	O
majority	O
of	O
taxpayers	O
have	O
no	O
children	O
in	O
grades	O
7-12	O
and	O
thus	O
no	O
participation	O
in	O
after-school	O
activities	O
.	O
