It	Premise-B
seems	Premise-I
to	Premise-I
me	Premise-I
home	Premise-I
schoolers	Premise-I
willfully	Premise-I
separate	Premise-I
themselves	Premise-I
from	Premise-I
the	Premise-I
community	Premise-I
to	Premise-I
a	Premise-I
certain	Premise-I
degree	Premise-I
.	Premise-I
If	Premise-I
they	Premise-I
wanted	Premise-I
to	Premise-I
benefit	Premise-I
from	Premise-I
the	Premise-I
community	Premise-I
,	Premise-I
such	Premise-I
as	Premise-I
participating	Premise-I
in	Premise-I
public	Premise-I
school	Premise-I
student	Premise-I
activities	Premise-I
,	Premise-I
then	Premise-I
maybe	Premise-I
they	Premise-I
shouldn't	Premise-I
be	Premise-I
trying	Premise-I
to	Premise-I
remain	Premise-I
separate	Premise-I
from	Premise-I
it	Premise-I
.	Premise-I
