Dreher's	Premise-B
bellicose	Premise-I
metaphor	Premise-I
(	Premise-I
"	Premise-I
waving	Premise-I
a	Premise-I
blood-soacked	Premise-I
rainbow	Premise-I
flag	Premise-I
"	Premise-I
)	Premise-I
and	Premise-I
militaristic	Premise-I
language	Premise-I
(	Premise-I
"	Premise-I
smearing	Premise-I
with	Premise-I
blood	Premise-I
,	Premise-I
"	Premise-I
"	Premise-I
escalate	Premise-I
the	Premise-I
culture	Premise-I
war	Premise-I
,	Premise-I
"	Premise-I
"	Premise-I
violence	Premise-I
to	Premise-I
the	Premise-I
truth	Premise-I
,	Premise-I
"	Premise-I
"	Premise-I
wars	Premise-I
of	Premise-I
religion	Premise-I
"	Premise-I
)	Premise-I
prove	Premise-I
the	Premise-I
point	Premise-I
that	Premise-I
many	Premise-I
Christians	Premise-I
do	Premise-I
indeed	Premise-I
seek	Premise-I
conflict	Premise-I
with	Premise-I
the	Premise-I
LGBT	Premise-I
community	Premise-I
,	Premise-I
which	Premise-I
wants	Premise-I
only	Premise-I
peace	Premise-I
and	Premise-I
the	Premise-I
freedom	Premise-I
to	Premise-I
live	Premise-I
under	Premise-I
laws	Premise-I
based	Premise-I
on	Premise-I
enlightened	Premise-I
principles	Premise-I
of	Premise-I
democracy	Premise-I
and	Premise-I
not	Premise-I
religious	Premise-I
dogma	Premise-I
.	Premise-I
That	O
so	O
many	O
Christians	O
like	O
Dreher	O
feel	O
under	O
attack	O
from	O
such	O
a	O
non-combative	O
segment	O
of	O
the	O
population	O
is	O
what's	O
truly	O
repugnant	O
.	O
They	O
are	O
the	O
lions	O
who	O
attack	O
the	O
lamb	O
.	O
