Medicare	Premise-B
for	Premise-I
anyone	Premise-I
who	Premise-I
wishes	Premise-I
to	Premise-I
enroll	Premise-I
,	Premise-I
regardless	Premise-I
of	Premise-I
age	Premise-I
or	Premise-I
employment	Premise-I
status	Premise-I
?	Premise-I
Yes	Premise-I
.	Premise-I
It	Premise-I
is	Premise-I
long	Premise-I
past	Premise-I
time	Premise-I
to	Premise-I
see	Premise-I
health	Premise-I
care	Premise-I
as	Premise-I
a	Premise-I
necessity	Premise-I
of	Premise-I
survival	Premise-I
rather	Premise-I
than	Premise-I
a	Premise-I
privilege	Premise-I
of	Premise-I
wealth	Premise-I
.	Premise-I
Premiums	O
tied	O
to	O
age	O
and	O
income	O
,	O
with	O
no	O
penalty	O
for	O
being	O
diabetic	O
,	O
being	O
a	O
survivor	O
of	O
cancer	O
treatment	O
,	O
being	O
mentally	O
ill	O
.	O
How	O
un-American	O
can	O
you	O
get	O
?	O
Maybe	O
it's	O
time	O
we	O
eliminated	O
the	O
profit	O
motive	O
from	O
some	O
aspects	O
of	O
survival	O
.	O
