re	Premise-B
post	Premise-I
#20	Premise-I
......	Premise-I
I	Premise-I
have	Premise-I
never	Premise-I
seen	Premise-I
such	Premise-I
unbelievable	Premise-I
drivel	Premise-I
in	Premise-I
all	Premise-I
my	Premise-I
life	Premise-I
......	Premise-I
"	Premise-I
The	Premise-I
cost	Premise-I
of	Premise-I
battery	Premise-I
replacement	Premise-I
will	Premise-I
be	Premise-I
$	Premise-I
15,000	Premise-I
"	Premise-I
.......	Premise-I
the	Premise-I
cost	Premise-I
will	Premise-I
be	Premise-I
a	Premise-I
maximum	Premise-I
of	Premise-I
$4000	Premise-I
based	Premise-I
on	Premise-I
the	Premise-I
prices	Premise-I
of	Premise-I
Toyota	Premise-I
Prius	Premise-I
battery	Premise-I
packs	Premise-I
........	Premise-I
Nissan	Premise-I
give	Premise-I
an	Premise-I
eight	Premise-I
year	Premise-I
100,000	Premise-I
mile	Premise-I
warranty	Premise-I
.....	Premise-I
the	Premise-I
price	Premise-I
of	Premise-I
batteries	Premise-I
are	Premise-I
falling	Premise-I
every	Premise-I
year	Premise-I
and	Premise-I
will	Premise-I
only	Premise-I
get	Premise-I
cheaper	Premise-I
as	Premise-I
more	Premise-I
are	Premise-I
produced	Premise-I
.....	Premise-I
as	Premise-I
for	Premise-I
the	Premise-I
other	Premise-I
issues	Premise-I
raised	Premise-I
by	Premise-I
others	Premise-I
who	Premise-I
have	Premise-I
posted	Premise-I
they	Premise-I
should	Premise-I
be	Premise-I
looked	Premise-I
at	Premise-I
and	Premise-I
evaluated	Premise-I
on	Premise-I
the	Premise-I
facts	Premise-I
and	Premise-I
not	Premise-I
on	Premise-I
the	Premise-I
hysteria	Premise-I
of	Premise-I
crack	Premise-I
fueled	Premise-I
crackpots	Premise-I
who	Premise-I
live	Premise-I
in	Premise-I
their	Premise-I
own	Premise-I
universe	Premise-I
.	Premise-I
