To	Premise-B
deter	Premise-I
the	Premise-I
future	Premise-I
use	Premise-I
of	Premise-I
chemical	Premise-I
weapons	Premise-I
should	Premise-I
be	Premise-I
the	Premise-I
stated	Premise-I
and	Premise-I
sole	Premise-I
goal	Premise-I
of	Premise-I
any	Premise-I
military	Premise-I
strike	Premise-I
;	Premise-I
it	Premise-I
is	Premise-I
consistent	Premise-I
with	Premise-I
the	Premise-I
"	Premise-I
red	Premise-I
line	Premise-I
"	Premise-I
statement	Premise-I
of	Premise-I
a	Premise-I
year	Premise-I
ago	Premise-I
.	Premise-I
No	O
other	O
goal	O
should	O
be	O
put	O
forth	O
.	O
The	O
military	O
strike	O
should	O
be	O
significant	O
,	O
short	O
of	O
duration	O
,	O
and	O
then	O
concluded	O
.	O
Concluded	O
.	O
Concluded	O
.	O
Talk	O
about	O
a	O
future	O
Syria	O
"	O
that	O
is	O
peaceful	O
,	O
non-sectarian	O
,	O
democratic	O
,	O
legitimate	O
,	O
tolerant	O
...	O
"	O
should	O
be	O
absolutely	O
avoided	O
.	O
We're	O
talking	O
about	O
the	O
Middle	O
East	O
here	O
,	O
not	O
Scandinavia	O
.	O
