Head	Premise-B
Start	Premise-I
can	Premise-I
evolve	Premise-I
into	Premise-I
a	Premise-I
high	Premise-I
quality	Premise-I
early	Premise-I
childhood	Premise-I
education	Premise-I
program	Premise-I
but	Premise-I
the	Premise-I
first	Premise-I
step	Premise-I
involves	Premise-I
transferring	Premise-I
the	Premise-I
administration	Premise-I
of	Premise-I
the	Premise-I
program	Premise-I
to	Premise-I
the	Premise-I
states	Premise-I
along	Premise-I
with	Premise-I
performance	Premise-I
standards	Premise-I
.	Premise-I
The	O
current	O
loosely	O
administered	O
federal	O
model	O
is	O
not	O
working	O
well	O
.	O
