Quite	Premise-B
simply	Premise-I
,	Premise-I
the	Premise-I
Palestinian	Premise-I
authority	Premise-I
needs	Premise-I
to	Premise-I
recognize	Premise-I
Israel's	Premise-I
right	Premise-I
to	Premise-I
exist	Premise-I
as	Premise-I
a	Premise-I
Jewish	Premise-I
state	Premise-I
,	Premise-I
and	Premise-I
Hamas	Premise-I
(	Premise-I
if	Premise-I
they're	Premise-I
a	Premise-I
participant	Premise-I
)	Premise-I
needs	Premise-I
to	Premise-I
disavow	Premise-I
its	Premise-I
commitment	Premise-I
to	Premise-I
the	Premise-I
destruction	Premise-I
of	Premise-I
Israel	Premise-I
and	Premise-I
the	Premise-I
Jews	Premise-I
.	Premise-I
Until	Premise-I
that	Premise-I
happens	Premise-I
,	Premise-I
it's	Premise-I
hard	Premise-I
to	Premise-I
see	Premise-I
how	Premise-I
any	Premise-I
rational	Premise-I
,	Premise-I
objective	Premise-I
person	Premise-I
could	Premise-I
support	Premise-I
Palestinian	Premise-I
statehood	Premise-I
.	Premise-I
