For	Premise-B
me	Premise-I
,	Premise-I
it's	Premise-I
pretty	Premise-I
simple	Premise-I
,	Premise-I
whenever	Premise-I
I	Premise-I
go	Premise-I
to	Premise-I
a	Premise-I
restaurant	Premise-I
,	Premise-I
and	Premise-I
don't	Premise-I
see	Premise-I
salt	Premise-I
,	Premise-I
pepper	Premise-I
,	Premise-I
or	Premise-I
condiments	Premise-I
,	Premise-I
I	Premise-I
can	Premise-I
rest	Premise-I
easy	Premise-I
knowing	Premise-I
that	Premise-I
a	Premise-I
real	Premise-I
,	Premise-I
honest	Premise-I
to	Premise-I
goodness	Premise-I
artisan	Premise-I
is	Premise-I
staffed	Premise-I
in	Premise-I
the	Premise-I
kitchen	Premise-I
.	Premise-I
I	O
know	O
my	O
food	O
will	O
come	O
out	O
tasting	O
just	O
fine	O
.	O
