For	Premise-B
the	Premise-I
Homeless	Premise-I
,	Premise-I
libraries	Premise-I
are	Premise-I
also	Premise-I
an	Premise-I
increasingly	Premise-I
important	Premise-I
safety	Premise-I
net	Premise-I
:	Premise-I
providing	Premise-I
them	Premise-I
with	Premise-I
a	Premise-I
warm	Premise-I
place	Premise-I
to	Premise-I
get	Premise-I
indoors	Premise-I
on	Premise-I
a	Premise-I
cold	Premise-I
day	Premise-I
,	Premise-I
newspapers	Premise-I
,	Premise-I
magazines	Premise-I
and	Premise-I
computers	Premise-I
to	Premise-I
let	Premise-I
them	Premise-I
look	Premise-I
for	Premise-I
a	Premise-I
job	Premise-I
or	Premise-I
any	Premise-I
other	Premise-I
need	Premise-I
they	Premise-I
have	Premise-I
,	Premise-I
often	Premise-I
with	Premise-I
a	Premise-I
means	Premise-I
to	Premise-I
make	Premise-I
application	Premise-I
for	Premise-I
the	Premise-I
same	Premise-I
online	Premise-I
.	Premise-I
A	O
friend	O
of	O
mine	O
told	O
me	O
that	O
she	O
became	O
homeless	O
for	O
a	O
year	O
and	O
lived	O
in	O
her	O
car	O
.	O
She	O
said	O
it	O
was	O
libraries	O
that	O
gave	O
her	O
a	O
means	O
to	O
search	O
and	O
apply	O
for	O
the	O
job	O
she	O
needed	O
--	O
and	O
won	O
,	O
getting	O
off	O
the	O
street	O
and	O
into	O
a	O
small	O
rented	O
house	O
again	O
.	O
