Coerced	Premise-B
treatment	Premise-I
has	Premise-I
been	Premise-I
used	Premise-I
for	Premise-I
decades	Premise-I
with	Premise-I
addicted	Premise-I
physicians	Premise-I
-	Premise-I
and	Premise-I
has	Premise-I
proved	Premise-I
incredibly	Premise-I
effective	Premise-I
.	Premise-I
Physicians	Premise-I
with	Premise-I
drug/alcohol	Premise-I
use	Premise-I
disorders	Premise-I
,	Premise-I
when	Premise-I
reported	Premise-I
,	Premise-I
are	Premise-I
placed	Premise-I
on	Premise-I
strict	Premise-I
treatment	Premise-I
protocols	Premise-I
of	Premise-I
random	Premise-I
drug	Premise-I
testing	Premise-I
and	Premise-I
counseling	Premise-I
.	Premise-I
85	O
%	O
of	O
physicians	O
placed	O
in	O
coercive	O
treatment	O
complete	O
the	O
treatment	O
and	O
are	O
able	O
to	O
continue	O
to	O
practice	O
medicine	O
,	O
