Or	Premise-B
farming	Premise-I
of	Premise-I
this	Premise-I
type	Premise-I
would	Premise-I
just	Premise-I
move	Premise-I
to	Premise-I
mechanization	Premise-I
to	Premise-I
keep	Premise-I
costs	Premise-I
down	Premise-I
.	Premise-I
In	O
the	O
late	O
70s/early	O
80s	O
,	O
the	O
United	O
Farm	O
Workers	O
did	O
a	O
lot	O
to	O
prevent	O
academic	O
research	O
into	O
mechanization	O
of	O
California	O
farming	O
,	O
and	O
wanted	O
the	O
state	O
to	O
impose	O
taxes	O
on	O
mechanized	O
fruit	O
and	O
vegetable	O
harvesters	O
.	O
I	O
think	O
their	O
efforts	O
even	O
included	O
a	O
terrorist	O
attack	O
on	O
the	O
Ag-engineering	O
department	O
at	O
UC-Davis	O
(	O
although	O
maybe	O
that's	O
just	O
something	O
I	O
just	O
heard	O
?	O
)	O
.	O
But	O
it's	O
2011	O
,	O
and	O
I	O
doubt	O
they	O
are	O
strong	O
enough	O
to	O
stop	O
mechanization	O
these	O
days	O
.	O
