Here's	Premise-B
a	Premise-I
funny	Premise-I
episode	Premise-I
:	Premise-I
IRA	Premise-I
account	Premise-I
was	Premise-I
closed	Premise-I
February	Premise-I
2011	Premise-I
;	Premise-I
$12.86	Premise-I
interest	Premise-I
was	Premise-I
deposited	Premise-I
after	Premise-I
the	Premise-I
balance	Premise-I
was	Premise-I
$0	Premise-I
;	Premise-I
February	Premise-I
2012	Premise-I
bank	Premise-I
says	Premise-I
deposit	Premise-I
at	Premise-I
least	Premise-I
$	Premise-I
1,000	Premise-I
or	Premise-I
$30	Premise-I
fee	Premise-I
will	Premise-I
be	Premise-I
charged	Premise-I
starting	Premise-I
April	Premise-I
30	Premise-I
,	Premise-I
2012	Premise-I
;	Premise-I
requests	Premise-I
to	Premise-I
close	Premise-I
essentially	Premise-I
dead	Premise-I
account	Premise-I
have	Premise-I
been	Premise-I
circumvented	Premise-I
with	Premise-I
the	Premise-I
most	Premise-I
wordy	Premise-I
,	Premise-I
polite	Premise-I
and	Premise-I
obfuscating	Premise-I
excuses	Premise-I
;	Premise-I
wondering	Premise-I
how	Premise-I
many	Premise-I
years	Premise-I
before	Premise-I
account	Premise-I
is	Premise-I
actually	Premise-I
closed	Premise-I
.	Premise-I
