It	Premise-B
is	Premise-I
a	Premise-I
known	Premise-I
fact	Premise-I
that	Premise-I
the	Premise-I
court	Premise-I
has	Premise-I
largely	Premise-I
been	Premise-I
a	Premise-I
regressive	Premise-I
institution	Premise-I
of	Premise-I
the	Premise-I
status	Premise-I
quo	Premise-I
,	Premise-I
upholding	Premise-I
the	Premise-I
worst	Premise-I
aspects	Premise-I
of	Premise-I
our	Premise-I
society	Premise-I
,	Premise-I
monopolies	Premise-I
,	Premise-I
capitalism	Premise-I
,	Premise-I
racism	Premise-I
,	Premise-I
slavery	Premise-I
,	Premise-I
Jim	Premise-I
Crow	Premise-I
,	Premise-I
with	Premise-I
holding	Premise-I
of	Premise-I
women's	Premise-I
suffrage	Premise-I
,	Premise-I
segregation	Premise-I
,	Premise-I
abortion	Premise-I
rights	Premise-I
,	Premise-I
voting	Premise-I
rights	Premise-I
and	Premise-I
on	Premise-I
and	Premise-I
on	Premise-I
.	Premise-I
The	O
exceptions	O
are	O
noteworthy	O
and	O
talked	O
about	O
as	O
if	O
they	O
are	O
heresy	O
rather	O
than	O
proper	O
.	O
For	O
example	O
is	O
it	O
simply	O
amazing	O
that	O
Justice	O
Roberts	O
cannot	O
find	O
anything	O
in	O
the	O
Constitution	O
that	O
supports	O
equal	O
rights	O
to	O
marriage	O
for	O
all	O
people	O
!	O
