Exactly	Premise-B
a	Premise-I
month	Premise-I
after	Premise-I
JFK	Premise-I
was	Premise-I
assassinated	Premise-I
,	Premise-I
Harry	Premise-I
Truman	Premise-I
wrote	Premise-I
an	Premise-I
op-ed	Premise-I
in	Premise-I
the	Premise-I
Post	Premise-I
stating	Premise-I
that	Premise-I
had	Premise-I
he	Premise-I
known	Premise-I
the	Premise-I
shenanigans	Premise-I
the	Premise-I
CIA	Premise-I
were	Premise-I
going	Premise-I
to	Premise-I
pull	Premise-I
,	Premise-I
instead	Premise-I
of	Premise-I
simply	Premise-I
providing	Premise-I
information	Premise-I
to	Premise-I
the	Premise-I
President	Premise-I
,	Premise-I
he	Premise-I
never	Premise-I
would	Premise-I
have	Premise-I
signed	Premise-I
it	Premise-I
into	Premise-I
law	Premise-I
.	Premise-I
(	O
Allen	O
Dulles	O
had	O
the	O
piece	O
pulled	O
after	O
the	O
morning	O
edition	O
.	O
)	O
