The	Premise-B
feds	Premise-I
found	Premise-I
that	Premise-I
the	Premise-I
police	Premise-I
and	Premise-I
the	Premise-I
courts	Premise-I
in	Premise-I
Missouri	Premise-I
had	Premise-I
a	Premise-I
cultural	Premise-I
bias	Premise-I
that	Premise-I
burdened	Premise-I
people	Premise-I
of	Premise-I
color	Premise-I
with	Premise-I
police	Premise-I
harassment	Premise-I
and	Premise-I
court	Premise-I
fines	Premise-I
,	Premise-I
(	O
as	O
they	O
exonerated	O
the	O
officer	O
who	O
shot	O
Michael	O
Brown	O
)	O
.	O
Perhaps	O
the	O
black	O
lives	O
matter	O
will	O
lead	O
to	O
a	O
new	O
civil	O
rights	O
movement	O
that	O
finally	O
removes	O
the	O
cultural	O
burden	O
of	O
our	O
slavery	O
and	O
Jim	O
Crow	O
past	O
.	O
