RBG's	Premise-B
opinion	Premise-I
of	Premise-I
Trump	Premise-I
is	Premise-I
not	Premise-I
a	Premise-I
point	Premise-I
of	Premise-I
law	Premise-I
but	Premise-I
a	Premise-I
measure	Premise-I
of	Premise-I
her	Premise-I
sanity	Premise-I
and	Premise-I
clarity	Premise-I
.	Premise-I
Scalia	O
insulted	O
whoever	O
he	O
wanted	O
whenever	O
he	O
wanted	O
to	O
.	O
Trump	O
does	O
not	O
mention	O
opponents	O
without	O
insulting	O
them	O
.	O
Indeed	O
he	O
appears	O
unable	O
to	O
do	O
so	O
.	O
Besides	O
,	O
what	O
if	O
he	O
is	O
a	O
faker	O
?	O
