If	Premise-B
we	Premise-I
were	Premise-I
to	Premise-I
eliminate	Premise-I
tax	Premise-I
breaks	Premise-I
to	Premise-I
private	Premise-I
colleges	Premise-I
and	Premise-I
universities	Premise-I
there	Premise-I
is	Premise-I
no	Premise-I
guarantee	Premise-I
those	Premise-I
funds	Premise-I
would	Premise-I
be	Premise-I
directed	Premise-I
to	Premise-I
public	Premise-I
schools	Premise-I
.	Premise-I
The	O
whole	O
argument	O
is	O
a	O
red	O
herring	O
.	O
The	O
bottom	O
line	O
:	O
Our	O
schools	O
need	O
all	O
the	O
help	O
they	O
can	O
get	O
.	O
