I	Premise-B
can't	Premise-I
think	Premise-I
of	Premise-I
a	Premise-I
reason	Premise-I
for	Premise-I
the	Premise-I
Queen	Premise-I
to	Premise-I
abdicate	Premise-I
her	Premise-I
solemn	Premise-I
responsibilities	Premise-I
.	Premise-I
Should	O
she	O
become	O
incapacitated	O
the	O
Privy	O
Council	O
has	O
a	O
mechanism	O
for	O
naming	O
a	O
regent	O
.	O
Charles	O
should	O
refuse	O
the	O
throne	O
..	O
Nobody	O
likes	O
him	O
.	O
Of	O
course	O
,	O
the	O
British	O
monarchy	O
has	O
evolved	O
greatly	O
over	O
the	O
past	O
millennium	O
or	O
so	O
,	O
but	O
historically	O
,	O
the	O
monarch	O
would	O
have	O
just	O
as	O
likely	O
to	O
have	O
murdered	O
or	O
exiled	O
the	O
heir	O
as	O
to	O
abdicate	O
in	O
his	O
or	O
her	O
favor	O
.	O
