There	Premise-B
are	Premise-I
also	Premise-I
disadvantaged	Premise-I
capable	Premise-I
students	Premise-I
with	Premise-I
great	Premise-I
potential	Premise-I
,	Premise-I
of	Premise-I
all	Premise-I
races	Premise-I
,	Premise-I
who	Premise-I
drop	Premise-I
out	Premise-I
of	Premise-I
high	Premise-I
school	Premise-I
due	Premise-I
to	Premise-I
the	Premise-I
emotional	Premise-I
impact	Premise-I
of	Premise-I
toxic	Premise-I
abusive	Premise-I
environments	Premise-I
that	Premise-I
degrade	Premise-I
and	Premise-I
fail	Premise-I
to	Premise-I
provide	Premise-I
the	Premise-I
foundation	Premise-I
they	Premise-I
need	Premise-I
to	Premise-I
succeed	Premise-I
at	Premise-I
much	Premise-I
of	Premise-I
anything	Premise-I
.	Premise-I
Of	O
course	O
going	O
to	O
college	O
is	O
the	O
furtherest	O
thing	O
from	O
their	O
minds	O
.	O
And	O
due	O
to	O
the	O
huge	O
amount	O
of	O
family	O
discord	O
,	O
abuse	O
,	O
and	O
dysfunction	O
out	O
there	O
,	O
the	O
numbers	O
of	O
lost	O
children	O
and	O
lost	O
potential	O
--	O
that	O
eventually	O
affects	O
us	O
all	O
in	O
one	O
way	O
or	O
another	O
--	O
is	O
no	O
doubt	O
staggering	O
.	O
Therefore	O
,	O
somehow	O
helping	O
this	O
group	O
overcome	O
their	O
challenges	O
so	O
they	O
can	O
likewise	O
move	O
forward	O
and	O
fulfill	O
their	O
potential	O
should	O
also	O
somehow	O
become	O
an	O
offshoot	O
goal	O
of	O
Affirmative	O
Action	O
as	O
it	O
struggles	O
to	O
redefine	O
itself	O
.	O
