They	Premise-B
are	Premise-I
certainly	Premise-I
no	Premise-I
problem	Premise-I
to	Premise-I
Democrats	Premise-I
where	Premise-I
they	Premise-I
are	Premise-I
viewed	Premise-I
as	Premise-I
new	Premise-I
voters	Premise-I
who	O
will	O
be	O
sustained	O
by	O
welfare	O
paid	O
for	O
by	O
someone	O
else	O
.	O
Once	O
the	O
Dems	O
have	O
this	O
huge	O
voting	O
bloc	O
there	O
will	O
be	O
no	O
viable	O
conservative	O
resistance	O
.	O
Of	O
course	O
they	O
don't	O
want	O
the	O
conservatives	O
to	O
go	O
away	O
completely	O
otherwise	O
who	O
would	O
they	O
blame	O
all	O
their	O
problems	O
and	O
failures	O
on	O
?	O
Question	O
:	O
If	O
illegals	O
are	O
such	O
an	O
asset	O
why	O
not	O
open	O
the	O
border	O
completely	O
?	O
