Nationalizing	Premise-B
the	Premise-I
banks	Premise-I
would	Premise-I
only	Premise-I
move	Premise-I
them	Premise-I
from	Premise-I
a	Premise-I
bureaucracy	Premise-I
that	O
is	O
too	O
big	O
to	O
one	O
that	O
is	O
even	O
larger	O
.	O
If	O
we	O
do	O
nationalize	O
them	O
,	O
at	O
least	O
do	O
it	O
the	O
way	O
we	O
created	O
Government	O
Motors	O
,	O
creating	O
smaller	O
leaner	O
institutions	O
.	O
I	O
would	O
support	O
the	O
Warren-McCain	O
Glass-Steagall	O
Act	O
update	O
.	O
The	O
one	O
issue	O
overlooked	O
in	O
this	O
discussion	O
is	O
the	O
lobbying	O
power	O
of	O
Wall	O
Street	O
bankers	O
that	O
is	O
a	O
roadblock	O
to	O
host	O
of	O
issues	O
from	O
tax	O
reform	O
to	O
their	O
War	O
on	O
the	O
Poor	O
to	O
regulation	O
.	O
Could	O
I	O
suggest	O
that	O
a	O
change	O
in	O
the	O
phraseology	O
from	O
Too	O
Big	O
to	O
Fail	O
to	O
Too	O
Big	O
to	O
Regulate	O
?	O
