It	Premise-B
would	Premise-I
be	Premise-I
an	Premise-I
enormous	Premise-I
mistake	Premise-I
to	Premise-I
get	Premise-I
rid	Premise-I
of	Premise-I
comments	Premise-I
sections	Premise-I
as	Premise-I
so	Premise-I
often	Premise-I
the	Premise-I
comments	Premise-I
outshine	Premise-I
the	Premise-I
actual	Premise-I
article	Premise-I
and	Premise-I
offer	Premise-I
a	Premise-I
range	Premise-I
of	Premise-I
opinions	Premise-I
no	Premise-I
single	Premise-I
author	Premise-I
can	Premise-I
compete	Premise-I
with	Premise-I
.	Premise-I
As	O
others	O
have	O
said	O
,	O
comments	O
generally	O
needs	O
to	O
be	O
monitored	O
which	O
obviously	O
has	O
a	O
financial	O
cost	O
to	O
it	O
,	O
but	O
it	O
would	O
be	O
impossible	O
to	O
go	O
back	O
to	O
a	O
world	O
where	O
only	O
the	O
author	O
gets	O
to	O
weigh	O
in	O
.	O
