Declawing	Premise-B
prevents	Premise-I
cat	Premise-I
overpopulation	Premise-I
?	Premise-I
Doubtful	Premise-I
.	Premise-I
I	O
was	O
a	O
vet	O
tech	O
prior	O
to	O
becoming	O
an	O
RN	O
.	O
I	O
have	O
been	O
physcially	O
sick	O
twice	O
in	O
the	O
last	O
10	O
years	O
of	O
those	O
careers	O
....	O
both	O
times	O
were	O
as	O
a	O
vet	O
tech	O
.	O
Neve	O
as	O
an	O
ER	O
nurse	O
!	O
Once	O
was	O
a	O
shot	O
puppy	O
,	O
another	O
was	O
a	O
post	O
op	O
declaw	O
.	O
It	O
was	O
HORRIBLE	O
.	O
But	O
clearly	O
,	O
sir	O
,	O
you	O
need	O
an	O
anatomy	O
class	O
.	O
You	O
see	O
cats	O
don't	O
reproduce	O
via	O
claws	O
....	O
1	O
cat	O
can	O
have	O
30	O
offspring	O
in	O
the	O
wild	O
.....	O
my	O
cats	O
have	O
the	O
option	O
to	O
go	O
outside	O
(	O
where	O
they	O
were	O
found-	O
cold	O
,	O
starving	O
,	O
wet	O
,	O
fighting	O
for	O
their	O
lives	O
in	O
city	O
streets	O
)	O
they	O
don't	O
want	O
to	O
go	O
outside	O
!!!!	O
Why	O
would	O
they	O
??	O
And	O
personally	O
I	O
would	O
rather	O
buy	O
15	O
couches	O
than	O
live	O
without	O
any	O
of	O
my	O
fur	O
babies	O
.	O
I	O
can't	O
even	O
believe	O
you	O
were	O
allowed	O
to	O
write	O
this	O
article	O
,	O
as	O
you	O
are	O
terribly	O
misinformed	O
.	O
