I	Premise-B
taught	Premise-I
in	Premise-I
an	Premise-I
honors	Premise-I
pre	Premise-I
law	Premise-I
program	Premise-I
,	Premise-I
and	Premise-I
another	Premise-I
prof	Premise-I
won	Premise-I
the	Premise-I
student	Premise-I
popularity	Premise-I
contest	Premise-I
(	Premise-I
$5000	Premise-I
)	Premise-I
pretty	Premise-I
much	Premise-I
every	Premise-I
year	Premise-I
.	Premise-I
Of	Premise-I
course	Premise-I
,	Premise-I
he	Premise-I
gave	Premise-I
high	Premise-I
and	Premise-I
easy	Premise-I
grades	Premise-I
(	Premise-I
>	Premise-I
3.8	Premise-I
/4	Premise-I
)	Premise-I
using	Premise-I
the	Premise-I
same	Premise-I
tests/answers	Premise-I
for	Premise-I
30	Premise-I
years	Premise-I
.	Premise-I
Our	O
pragmatic	O
but	O
not	O
too	O
bright	O
(	O
or	O
honest	O
)	O
chair	O
also	O
thought	O
the	O
student	O
popularity	O
poll	O
really	O
measured	O
excellence	O
in	O
teaching	O
.	O
