Cheating	Premise-B
is	Premise-I
the	Premise-I
problem	Premise-I
:	Premise-I
H-1B	Premise-I
visas	Premise-I
granted	Premise-I
solely	Premise-I
to	Premise-I
lower	Premise-I
an	Premise-I
employer's	Premise-I
labor	Premise-I
cost	Premise-I
.	Premise-I
Foreigners	Premise-I
illegally	Premise-I
entering	Premise-I
our	Premise-I
country	Premise-I
or	Premise-I
illegally	Premise-I
overstaying	Premise-I
in	Premise-I
our	Premise-I
country	Premise-I
.	Premise-I
Dishonest	O
news	O
media	O
discourse	O
is	O
also	O
a	O
significant	O
problem	O
:	O
All	O
Americans	O
support	O
controlled	O
immigration	O
with	O
quotas	O
set	O
by	O
our	O
Congress	O
.	O
No	O
Americans	O
support	O
uncontrolled	O
entry	O
into	O
our	O
country	O
or	O
the	O
granting	O
of	O
citizenship	O
to	O
foreigners	O
illegally	O
present	O
in	O
our	O
country	O
(	O
illegal	O
aliens	O
)	O
.	O
