There	Premise-B
should	Premise-I
be	Premise-I
no	Premise-I
exeptions	Premise-I
from	Premise-I
vaccinations	Premise-I
with	Premise-I
the	Premise-I
exception	Premise-I
of	Premise-I
valid	Premise-I
medical	Premise-I
exemptions	Premise-I
i.e.	Premise-I
an	Premise-I
individual	Premise-I
with	Premise-I
a	Premise-I
serious	Premise-I
allergy	Premise-I
to	Premise-I
the	Premise-I
vaccine	Premise-I
for	Premise-I
example	Premise-I
an	Premise-I
egg	Premise-I
alergy	Premise-I
in	Premise-I
the	Premise-I
case	Premise-I
of	Premise-I
the	Premise-I
flu	Premise-I
vaccine	Premise-I
.	Premise-I
Asside	O
from	O
that	O
demonstratable	O
allergy	O
no	O
exemptions	O
for	O
either	O
personal	O
belief	O
or	O
religion	O
should	O
be	O
entertained	O
.	O
If	O
I	O
had	O
my	O
way	O
vaccinations	O
would	O
be	O
a	O
part	O
of	O
a	O
single	O
payer	O
national	O
health	O
system	O
providing	O
universal	O
care	O
.	O
The	O
private	O
sector	O
has	O
proved	O
itself	O
to	O
be	O
incompetent	O
to	O
provide	O
modern	O
health	O
care	O
and	O
need	O
to	O
step	O
asside	O
.	O
