If	Premise-B
we	Premise-I
really	Premise-I
thought	Premise-I
that	Premise-I
these	Premise-I
kinds	Premise-I
of	Premise-I
bans	Premise-I
can	Premise-I
work	Premise-I
,	Premise-I
then	Premise-I
we	Premise-I
should	Premise-I
ban	Premise-I
any	Premise-I
establishment	Premise-I
that	Premise-I
serves	Premise-I
alcohol	Premise-I
from	Premise-I
having	Premise-I
a	Premise-I
parking	Premise-I
lot	Premise-I
,	Premise-I
and	Premise-I
in	Premise-I
fact	Premise-I
why	Premise-I
not	Premise-I
go	Premise-I
farther	Premise-I
and	Premise-I
just	Premise-I
not	Premise-I
issue	Premise-I
a	Premise-I
liquor	Premise-I
license	Premise-I
to	Premise-I
any	Premise-I
establishment	Premise-I
that	Premise-I
you	Premise-I
can	Premise-I
only	Premise-I
realistically	Premise-I
get	Premise-I
to	Premise-I
and	Premise-I
from	Premise-I
by	Premise-I
car	Premise-I
.	Premise-I
These	O
things	O
aren't	O
going	O
to	O
happen	O
of	O
course	O
,	O
which	O
is	O
the	O
point	O
.	O
