If	Premise-B
I'm	Premise-I
flying	Premise-I
from	Premise-I
coast	Premise-I
to	Premise-I
coast	Premise-I
(	Premise-I
5	Premise-I
hours	Premise-I
)	Premise-I
for	Premise-I
$500	Premise-I
cheaper	Premise-I
than	Premise-I
in	Premise-I
the	Premise-I
1970s	Premise-I
,	Premise-I
the	Premise-I
airline	Premise-I
is	Premise-I
essentially	Premise-I
paying	Premise-I
me	Premise-I
$100	Premise-I
an	Premise-I
hour	Premise-I
to	Premise-I
sit	Premise-I
in	Premise-I
slightly	Premise-I
cramped	Premise-I
conditions	Premise-I
eating	Premise-I
my	Premise-I
own	Premise-I
sandwich	Premise-I
.	Premise-I
That's	Premise-I
worth	Premise-I
it	Premise-I
!	Premise-I
So	O
I'll	O
have	O
a	O
luxurious	O
meal	O
when	O
I	O
touch	O
down	O
,	O
and	O
still	O
have	O
$430	O
left	O
over	O
to	O
spend	O
on	O
myself	O
.	O
