A	Premise-B
realistic	Premise-I
assessment	Premise-I
of	Premise-I
what	Premise-I
it	Premise-I
takes	Premise-I
to	Premise-I
learn	Premise-I
a	Premise-I
foreign	Premise-I
language	Premise-I
(	Premise-I
it	Premise-I
takes	Premise-I
a	Premise-I
lifetime	Premise-I
)	Premise-I
.	Premise-I
All	O
the	O
advertising	O
about	O
learning	O
a	O
language	O
in	O
3	O
months	O
are	O
nonsense	O
.	O
Not	O
even	O
the	O
best	O
government	O
schools	O
training	O
someone	O
8	O
hours	O
a	O
day	O
,	O
5	O
days	O
a	O
week	O
take	O
less	O
than	O
six	O
months	O
of	O
total	O
submersion	O
to	O
offer	O
anything	O
close	O
to	O
proficiency	O
.	O
And	O
then	O
if	O
you	O
don't	O
use	O
it	O
,	O
it	O
fades	O
quickly	O
.	O
