One	Premise-B
third	Premise-I
of	Premise-I
births	Premise-I
in	Premise-I
California	Premise-I
are	Premise-I
to	Premise-I
illegal	Premise-I
immigrants	Premise-I
,	Premise-I
the	Premise-I
medical	Premise-I
bills	Premise-I
paid	Premise-I
by	Premise-I
the	Premise-I
taxpayers	Premise-I
,	Premise-I
at	Premise-I
a	Premise-I
cost	Premise-I
of	Premise-I
billions	Premise-I
of	Premise-I
dollars	Premise-I
a	Premise-I
year	Premise-I
,	Premise-I
after	Premise-I
which	Premise-I
the	Premise-I
family	Premise-I
qualifies	Premise-I
for	Premise-I
welfare	Premise-I
,	Premise-I
food	Premise-I
stamps	Premise-I
,	Premise-I
Medicaid	Premise-I
,	Premise-I
and	Premise-I
subsidized	Premise-I
housing	Premise-I
for	Premise-I
the	Premise-I
next	Premise-I
18	Premise-I
years	Premise-I
.	Premise-I
Not	O
exactly	O
a	O
formula	O
for	O
attracting	O
the	O
best	O
and	O
brightest	O
.	O
