You're	Premise-B
going	Premise-I
to	Premise-I
have	Premise-I
a	Premise-I
hard	Premise-I
time	Premise-I
eating	Premise-I
(	Premise-I
at	Premise-I
least	Premise-I
enjoying	Premise-I
)	Premise-I
a	Premise-I
purely	Premise-I
vegan	Premise-I
diet	Premise-I
without	Premise-I
processing	Premise-I
tools	Premise-I
.	Premise-I
Fruits	O
,	O
nuts	O
,	O
and	O
raw	O
vegetables	O
all	O
the	O
time	O
?	O
No	O
soy	O
milk	O
?	O
No	O
tofu	O
?	O
No	O
vegetable	O
oil	O
?	O
No	O
corn	O
or	O
wheat	O
flour	O
?	O
This	O
person	O
makes	O
a	O
completely	O
specious	O
argument	O
.	O
