The	Premise-B
banks	Premise-I
have	Premise-I
been	Premise-I
making	Premise-I
enormous	Premise-I
profits	Premise-I
and	Premise-I
paying	Premise-I
out	Premise-I
(	Premise-I
again	Premise-I
)	Premise-I
obscene	Premise-I
bonuses	Premise-I
,	Premise-I
seemingly	Premise-I
forgetting	Premise-I
that	Premise-I
their	Premise-I
purpose	Premise-I
(	Premise-I
as	Premise-I
per	Premise-I
Founding	Premise-I
Fathers	Premise-I
)	Premise-I
is	Premise-I
to	Premise-I
serve	Premise-I
the	Premise-I
public	Premise-I
not	Premise-I
themselves	Premise-I
.	Premise-I
I	O
could	O
accept	O
being	O
nickel	O
and	O
dimed	O
if	O
the	O
executive	O
salaries	O
were	O
brought	O
down	O
to	O
acceptable	O
levels	O
(	O
i.e.	O
,	O
maximum	O
$500	O
000	O
for	O
the	O
CEO	O
)	O
.	O
