According	Premise-B
to	Premise-I
the	Premise-I
Mexican	Premise-I
constitution	Premise-I
,	Premise-I
Article	Premise-I
30-	Premise-I
one	Premise-I
way	Premise-I
for	Premise-I
Mexican	Premise-I
nationality	Premise-I
is	Premise-I
-	Premise-I
Those	Premise-I
born	Premise-I
in	Premise-I
a	Premise-I
foreign	Premise-I
country	Premise-I
of	Premise-I
Mexican	Premise-I
parents	Premise-I
;	Premise-I
of	Premise-I
a	Premise-I
Mexican	Premise-I
father	Premise-I
and	Premise-I
a	Premise-I
foreign	Premise-I
mother	Premise-I
;	Premise-I
or	Premise-I
of	Premise-I
a	Premise-I
Mexican	Premise-I
mother	Premise-I
and	Premise-I
an	Premise-I
unknown	Premise-I
father	Premise-I
;	Premise-I
So	O
if	O
Trumps	O
immigration	O
plan	O
begins	O
with	O
deportation	O
for	O
those	O
from	O
Mexico	O
,	O
it	O
would	O
in	O
fact	O
be	O
deporting	O
Mexican	O
citizens	O
...	O
Mexico	O
doesn't	O
recognize	O
them	O
as	O
American	O
citizens	O
.	O
They	O
are	O
subject	O
to	O
the	O
jurisdiction	O
of	O
Mexico	O
.	O
