Forcing	Premise-B
austerity	Premise-I
on	Premise-I
Greece	Premise-I
has	Premise-I
depressed	Premise-I
the	Premise-I
economy	Premise-I
even	Premise-I
further	Premise-I
than	Premise-I
it	Premise-I
was	Premise-I
,	Premise-I
caused	Premise-I
much	Premise-I
human	Premise-I
suffering	Premise-I
and	Premise-I
pretty	Premise-I
much	Premise-I
assured	Premise-I
that	Premise-I
the	Premise-I
folks	Premise-I
holding	Premise-I
Greek	Premise-I
debt	Premise-I
will	Premise-I
get	Premise-I
less	Premise-I
money	Premise-I
that	Premise-I
they	Premise-I
would	Premise-I
have	Premise-I
otherwise	Premise-I
.	Premise-I
Perhaps	O
it	O
has	O
worked	O
as	O
a	O
morality	O
play	O
,	O
but	O
not	O
as	O
economics	O
.	O
This	O
commentator	O
is	O
right	O
,	O
it'll	O
be	O
difficult	O
for	O
Syriza	O
to	O
do	O
worse	O
.	O
