Wait	Premise-B
,	Premise-I
we	Premise-I
have	Premise-I
trade	Premise-I
and	Premise-I
diplomatic	Premise-I
relations	Premise-I
with	Premise-I
China	Premise-I
,	Premise-I
which	Premise-I
is	Premise-I
by	Premise-I
all	Premise-I
practical	Premise-I
means	Premise-I
a	Premise-I
dictatorship	Premise-I
,	Premise-I
but	Premise-I
we	Premise-I
can't	Premise-I
have	Premise-I
the	Premise-I
same	Premise-I
with	Premise-I
Cuba	Premise-I
?	Premise-I
How	O
long	O
are	O
we	O
going	O
to	O
appease	O
the	O
Batista	O
cronies	O
in	O
the	O
United	O
States	O
and	O
heirs	O
?	O
All	O
they	O
care	O
about	O
is	O
their	O
property	O
rights	O
.	O
