Syrians	Premise-B
are	Premise-I
educated	Premise-I
,	Premise-I
kind	Premise-I
,	Premise-I
humble	Premise-I
and	Premise-I
beautiful	Premise-I
people	Premise-I
.	Premise-I
It	O
is	O
the	O
height	O
of	O
hypocrisy	O
for	O
the	O
US	O
to	O
relentlessly	O
bomb	O
Syria	O
and	O
then	O
slam	O
the	O
door	O
in	O
the	O
face	O
of	O
war-weary	O
Syrian	O
refugees	O
,	O
all	O
while	O
boasting	O
about	O
being	O
an	O
opportunistic	O
,	O
strong	O
and	O
exceptional	O
nation	O
.	O
Americans	O
are	O
yet	O
again	O
showing	O
the	O
world	O
that	O
they	O
are	O
hypocritical	O
,	O
selfish	O
and	O
merciless	O
cowards	O
.	O
I'm	O
surprised	O
our	O
allies	O
haven't	O
slammed	O
the	O
door	O
in	O
our	O
faces	O
yet	O
.	O
I	O
sure	O
would	O
.	O
