id,author,annotatedStance,timestamp,debateMetaData.title,debateMetaData.description,debateMetaData.url
12118409,Miguel Hernandez,State citizenship is not the answer to immigration reform,Wed Jun 25 00:00:00 CEST 2014,Citizen of the State of New York,Is state citizenship the answer to immigration reform?,/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform
12114985,George S,State citizenship is not the answer to immigration reform,Wed Jun 25 00:00:00 CEST 2014,Citizen of the State of New York,Is state citizenship the answer to immigration reform?,/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform
12118061,Richard,State citizenship is not the answer to immigration reform,Wed Jun 25 00:00:00 CEST 2014,Citizen of the State of New York,Is state citizenship the answer to immigration reform?,/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform
12118132,Realist,State citizenship is not the answer to immigration reform,Wed Jun 25 00:00:00 CEST 2014,Citizen of the State of New York,Is state citizenship the answer to immigration reform?,/roomfordebate/2014/06/24/is-state-citizenship-the-answer-to-immigration-reform
16312746,Sequel,Former colonial powers should not pay reparations,Thu Oct 08 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16325513,Cristino Xirau,Former colonial powers should not pay reparations,Fri Oct 09 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16319702,NorthernVirginia,Former colonial powers should not pay reparations,Fri Oct 09 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16318175,john,Former colonial powers should not pay reparations,Thu Oct 08 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16318006,William Case,Former colonial powers should not pay reparations,Thu Oct 08 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16325283,David & Vernice Cohen,Former colonial powers should pay reparations,Fri Oct 09 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16318425,Mr. Phil,Former colonial powers should not pay reparations,Fri Oct 09 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16317447,Curious George,Former colonial powers should not pay reparations,Thu Oct 08 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16314901,SoCal Observer,Former colonial powers should not pay reparations,Thu Oct 08 00:00:00 CEST 2015,Are Trans-Atlantic Slave Trade Reparations Due?,Should former colonial powers pay reparations for the Atlantic slave trade?,/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due
16157609,Barbara Miles,Apps cannot be used to treat depression and anxiety,Tue Sep 22 00:00:00 CEST 2015,Depressed? There's an App for That,Can apps be used to treat depression and anxiety?,/roomfordebate/2015/09/22/is-depression-treatable-with-a-mobile-phone-app
7385804,Destiny,We need professional critics,Mon Oct 15 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
7367236,Mario R,We need professional critics,Fri Oct 12 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
7367053,MR,We need professional critics,Fri Oct 12 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
7326661,Jason Shueh,We need professional critics,Mon Oct 08 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
7329563,Doris Liebman Appelbaum,We need professional critics,Tue Oct 09 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
7328014,sophiegracenyc,We need professional critics,Mon Oct 08 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
7327906,Charles Michener,We need professional critics,Mon Oct 08 00:00:00 CEST 2012,Do We Need Professional Critics?,Can professional criticism stay relevant in a media landscape overflowing with opinions?,/roomfordebate/2012/10/07/do-we-need-professional-critics
13320024,mycomment,Parents should help their children with homework,Thu Nov 13 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
13321356,Alan,Parents should help their children with homework,Thu Nov 13 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
13322086,Norville T Johnson,Parents should help their children with homework,Thu Nov 13 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
13343210,Amy M,Parents should help their children with homework,Mon Nov 17 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
13319707,R. Henderson,Parents should help their children with homework,Thu Nov 13 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
13319591,AC,Parents should help their children with homework,Thu Nov 13 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
13316560,A Goldstein,Parents should help their children with homework,Thu Nov 13 00:00:00 CET 2014,Whose Work Is Homework?,Should parents help their children with homework? Or do they end up doing more harm than good?,/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework
6026123,Matt F,Veganism is not good for everyone,Thu Apr 19 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6024130,Kate,Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6016899,Larry Figdill,Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6023656,al23,Veganism is good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6020609,Margaret Welman Paez,Veganism is good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6017246,Samuel,Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6131389,Maria,Veganism is not good for everyone,Fri May 04 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6129077,Genie,Veganism is good for everyone,Fri May 04 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6102751,Michaela Maslanka,Veganism is not good for everyone,Tue May 01 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6074662,JJ Horsman,Veganism is good for everyone,Thu Apr 26 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6042475,Chintu,Veganism is good for everyone,Tue Apr 24 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6025796,Sonja Coryat,Veganism is not good for everyone,Thu Apr 19 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6025276,Henry Rhodes,Veganism is good for everyone,Thu Apr 19 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6027980,Carlos Oliveira,Veganism is good for everyone,Thu Apr 19 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6023354,Alex,Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6023192,Patrick,Veganism is good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6022867,SB,Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6022426,mark jeffery,Veganism is good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6022328,"Kim Beauchamp, ND",Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6020790,Drew Ramsey MD,Veganism is not good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
6019509,Geekay,Veganism is good for everyone,Wed Apr 18 00:00:00 CEST 2012,Is Veganism Good For Everyone?,Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?,/roomfordebate/2012/04/17/is-veganism-good-for-everyone
