Sweden	Premise-B
and	Premise-I
Great	Premise-I
Britain	Premise-I
have	Premise-I
open	Premise-I
the	Premise-I
gates	Premise-I
for	Premise-I
recognition	Premise-I
of	Premise-I
a	Premise-I
Palestinian	Premise-I
state	Premise-I
at	Premise-I
UN	Premise-I
.	Premise-I
Sooner	Premise-I
than	Premise-I
later	Premise-I
,	Premise-I
the	Premise-I
majority	Premise-I
member	Premise-I
countries	Premise-I
will	Premise-I
follow	Premise-I
suit	Premise-I
.	Premise-I
The	O
(	O
official	O
line	O
)	O
arguments	O
presented	O
by	O
Ms.	O
Leibovich	O
come	O
too	O
little	O
,	O
too	O
late	O
.	O
Israel	O
has	O
always	O
ignored	O
UN	O
pledges	O
for	O
good	O
faith	O
negotiations	O
with	O
the	O
Palestinians	O
because	O
US	O
unwavering	O
support	O
.	O
Washington	O
,	O
however	O
,	O
is	O
losing	O
diplomatic	O
control	O
over	O
its	O
allies	O
and	O
friends	O
.	O
Israel	O
soon	O
will	O
be	O
facing	O
(	O
another	O
)	O
awkward	O
diplomatic	O
position	O
at	O
the	O
UN	O
.	O
It	O
will	O
be	O
occupying	O
land	O
of	O
an	O
invaded	O
sovereign	O
state	O
recognized	O
by	O
the	O
world	O
community	O
.	O
A	O
good	O
challenge	O
for	O
the	O
able	O
Israeli-American	O
diplomacy	O
to	O
defend	O
at	O
the	O
UN	O
.	O
