Age	Premise-B
17	Premise-I
,	Premise-I
my	Premise-I
son	Premise-I
had	Premise-I
intolerable	Premise-I
stomach	Premise-I
pain	Premise-I
in	Premise-I
the	Premise-I
middle	Premise-I
of	Premise-I
the	Premise-I
night	Premise-I
.	Premise-I
He	Premise-I
visited	Premise-I
web	Premise-I
MD	Premise-I
,	Premise-I
concluded	Premise-I
he	Premise-I
might	Premise-I
have	Premise-I
appendicitis	Premise-I
,	Premise-I
woke	Premise-I
me	Premise-I
up	Premise-I
at	Premise-I
2	Premise-I
AM	Premise-I
,	Premise-I
and	Premise-I
suggested	Premise-I
we	Premise-I
go	Premise-I
to	Premise-I
the	Premise-I
hospital	Premise-I
for	Premise-I
possible	Premise-I
appendix	Premise-I
issue	Premise-I
.	Premise-I
He	O
is	O
not	O
a	O
complainer	O
,	O
so	O
I	O
took	O
him	O
at	O
his	O
word	O
.	O
Result	O
:	O
appendix	O
removed	O
at	O
7	O
AM	O
.	O
I'm	O
a	O
believer	O
.	O
