With	Premise-B
population	Premise-I
36	Premise-I
million	Premise-I
and	Premise-I
growing	Premise-I
,	Premise-I
cost	Premise-I
of	Premise-I
oil	Premise-I
,	Premise-I
deadly	Premise-I
&	Premise-I
noxious	Premise-I
air	Premise-I
pollution	Premise-I
,	Premise-I
traffic	Premise-I
congestion	Premise-I
and	Premise-I
all	Premise-I
the	Premise-I
rest	Premise-I
,	Premise-I
California	Premise-I
would	Premise-I
be	Premise-I
fare	Premise-I
better	Premise-I
off	Premise-I
with	Premise-I
high	Premise-I
speed	Premise-I
Rail	Premise-I
provided	Premise-I
it	Premise-I
is	Premise-I
all	Premise-I
build	Premise-I
at	Premise-I
ground	Premise-I
level	Premise-I
and	Premise-I
not	Premise-I
underground	Premise-I
.	Premise-I
