All	Premise-B
the	Premise-I
backward	Premise-I
thinking	Premise-I
that	Premise-I
Dr.	Premise-I
Pinker	Premise-I
mentions	Premise-I
as	Premise-I
a	Premise-I
thing	Premise-I
of	Premise-I
the	Premise-I
past	Premise-I
actually	Premise-I
reflects	Premise-I
many	Premise-I
of	Premise-I
the	Premise-I
conservative	Premise-I
views	Premise-I
currently	Premise-I
held	Premise-I
by	Premise-I
our	Premise-I
most	Premise-I
prominent	Premise-I
Republican	Premise-I
politicians	Premise-I
,	Premise-I
as	Premise-I
well	Premise-I
as	Premise-I
their	Premise-I
constituents	Premise-I
.	Premise-I
Apparently	O
higher	O
education	O
is	O
even	O
under	O
attack	O
now	O
,	O
so	O
as	O
much	O
as	O
I'd	O
like	O
to	O
share	O
Dr.	O
Pinker's	O
optimistic	O
views	O
,	O
I	O
can't	O
disagree	O
more	O
.	O
